export_id,date_key,corridor_key,fruit_key,grower_key,season,subzone,variety,pack_week,season_phase,trays_submitted,trays_exported,trays_lost,loss_pct,dm_pct_avg,tzg_score,mts_pass,submit_payment_nzd,taste_payment_nzd,total_return_nzd,freight_cost_nzd,margin_erosion_pct,otif_pct,risk_score,congestion_index,rainfall_mm_7d,reg_index,vol_index
15,20230410,1,21,2,2022/23,Te Puke,Green,15,MainPack,430,412,18,4.194,16.53,0.229,True,1182.5,89.63,1272.13,153.28,28.71,88.46,23,91.8,32.0,15.0,95
16,20230417,1,22,2,2022/23,Te Puke,Green,16,MainPack,404,393,11,2.858,17.0,0.333,True,1111.0,124.33,1235.33,146.21,26.32,88.46,21,91.8,32.0,15.0,95
17,20230424,1,23,2,2022/23,Te Puke,Green,17,MainPack,440,425,15,3.464,16.78,0.284,True,1210.0,114.66,1324.66,158.12,27.46,88.87,21,91.8,22.0,15.0,95
18,20230501,1,24,2,2022/23,Te Puke,Green,18,MainPack,405,394,11,2.945,17.01,0.336,True,1113.75,125.76,1239.51,146.59,26.25,88.87,20,91.8,22.0,15.0,95
19,20230508,1,25,2,2022/23,Te Puke,Green,19,MainPack,393,377,16,4.274,16.19,0.153,True,1080.75,54.8,1135.55,140.26,30.37,88.87,25,91.8,22.0,15.0,95
20,20230515,1,26,2,2022/23,Te Puke,Green,20,MainPack,430,414,16,3.854,15.66,0.036,True,1182.5,14.16,1196.66,154.03,32.94,89.02,33,91.8,18.0,15.0,95
21,20230313,1,33,3,2022/23,Te Puke,Green,11,KiwiStart,1785,1742,43,2.42,16.87,0.304,True,4908.75,503.09,5411.84,648.1,26.94,88.63,21,91.8,28.0,15.0,95
22,20230320,1,34,3,2022/23,Te Puke,Green,12,KiwiStart,1686,1631,55,3.295,17.3,0.4,True,4636.5,619.78,5256.28,606.81,24.88,88.63,20,91.8,28.0,15.0,95
23,20230327,1,35,3,2022/23,Te Puke,Green,13,KiwiStart,2154,2082,72,3.364,17.24,0.387,True,5923.5,765.45,6688.95,774.6,25.17,88.63,20,91.8,28.0,15.0,95
24,20230403,1,36,3,2022/23,Te Puke,Green,14,MainPack,1716,1654,62,3.636,16.49,0.22,True,4719.0,345.69,5064.69,615.36,28.88,88.46,24,91.8,32.0,15.0,95
25,20230410,1,37,3,2022/23,Te Puke,Green,15,MainPack,1885,1835,50,2.655,16.57,0.238,True,5183.75,414.89,5598.64,682.7,28.43,88.46,23,91.8,32.0,15.0,95
26,20230417,1,38,3,2022/23,Te Puke,Green,16,MainPack,1914,1850,64,3.373,16.7,0.267,True,5263.5,469.25,5732.75,688.28,27.83,88.46,22,91.8,32.0,15.0,95
27,20230424,1,39,3,2022/23,Te Puke,Green,17,MainPack,1884,1839,45,2.41,16.7,0.267,True,4804.2,466.46,5270.66,684.19,32.59,88.87,21,91.8,22.0,15.0,95
28,20230501,1,40,3,2022/23,Te Puke,Green,18,MainPack,1376,1332,44,3.231,16.11,0.136,True,3784.0,172.09,3956.09,495.56,30.72,88.87,26,91.8,22.0,15.0,95
29,20230508,1,41,3,2022/23,Te Puke,Green,19,MainPack,1855,1808,47,2.577,16.09,0.131,True,5101.25,225.01,5326.26,672.66,30.81,88.87,27,91.8,22.0,15.0,95
30,20230515,1,42,3,2022/23,Te Puke,Green,20,MainPack,1447,1389,58,4.055,16.18,0.151,True,3979.25,199.25,4178.5,516.77,30.42,89.02,25,91.8,18.0,15.0,95
31,20230327,1,51,4,2022/23,Te Puke,SunGold,13,KiwiStart,1027,992,35,3.492,17.1,0.221,True,3697.2,208.27,3905.47,369.07,8.37,88.63,21,91.8,28.0,15.0,95
32,20230403,1,52,4,2022/23,Te Puke,SunGold,14,MainPack,837,812,25,3.004,16.39,0.064,True,3013.2,49.37,3062.57,302.1,11.83,88.46,24,91.8,32.0,15.0,95
33,20230410,1,53,4,2022/23,Te Puke,SunGold,15,MainPack,1075,1043,32,3.06,17.08,0.216,True,3870.0,214.02,4084.02,388.04,8.46,88.46,21,91.8,32.0,15.0,95
34,20230417,1,54,4,2022/23,Te Puke,SunGold,16,MainPack,1125,1087,38,3.432,16.98,0.194,True,4050.0,200.33,4250.33,404.41,8.96,88.46,21,91.8,32.0,15.0,95
35,20230424,1,55,4,2022/23,Te Puke,SunGold,17,MainPack,1100,1068,32,2.915,16.16,0.013,True,3960.0,13.19,3973.19,397.34,12.96,88.87,26,91.8,22.0,15.0,95
36,20230501,1,56,4,2022/23,Te Puke,SunGold,18,MainPack,1058,1022,36,3.464,17.44,0.295,True,3808.8,286.42,4095.22,380.23,6.73,88.87,20,91.8,22.0,15.0,95
37,20230508,1,57,4,2022/23,Te Puke,SunGold,19,MainPack,1220,1181,39,3.273,17.05,0.209,True,4392.0,234.49,4626.49,439.39,8.62,88.87,20,91.8,22.0,15.0,95
38,20230515,1,58,4,2022/23,Te Puke,SunGold,20,MainPack,1001,969,32,3.197,17.03,0.205,True,3603.6,188.71,3792.31,360.51,8.71,89.02,20,91.8,18.0,15.0,95
39,20230522,1,59,4,2022/23,Te Puke,SunGold,21,MainPack,1109,1070,39,3.532,15.95,0.0,False,3992.4,0.0,0.0,398.09,100.0,77.02,28,91.8,18.0,15.0,95
40,20230529,1,60,4,2022/23,Te Puke,SunGold,22,MainPack,699,682,17,2.451,16.75,0.143,True,2516.4,92.65,2609.05,253.73,10.06,89.02,21,91.8,18.0,15.0,95
41,20230313,1,65,5,2022/23,Te Puke,Green,11,KiwiStart,2254,2168,86,3.847,16.38,0.196,True,6198.5,403.68,6602.18,806.59,29.42,88.63,24,91.8,28.0,15.0,95
42,20230320,1,66,5,2022/23,Te Puke,Green,12,KiwiStart,1544,1493,51,3.364,15.97,0.104,True,4246.0,147.51,4393.51,555.46,31.43,88.63,29,91.8,28.0,15.0,95
43,20230327,1,67,5,2022/23,Te Puke,Green,13,KiwiStart,1500,1446,54,3.613,16.97,0.327,True,4125.0,449.2,4574.2,537.98,26.52,88.63,21,91.8,28.0,15.0,95
44,20230403,1,68,5,2022/23,Te Puke,Green,14,MainPack,1602,1550,52,3.288,16.71,0.269,True,4405.5,396.1,4801.6,576.67,27.78,88.46,22,91.8,32.0,15.0,95
45,20230410,1,69,5,2022/23,Te Puke,Green,15,MainPack,2113,2017,96,4.563,16.53,0.229,True,5810.75,438.8,6249.55,750.41,28.73,88.46,23,91.8,32.0,15.0,95
46,20230417,1,70,5,2022/23,Te Puke,Green,16,MainPack,1461,1413,48,3.318,17.2,0.378,True,4017.75,507.41,4525.16,525.7,25.37,88.46,21,91.8,32.0,15.0,95
47,20230424,1,71,5,2022/23,Te Puke,Green,17,MainPack,1665,1620,45,2.733,16.22,0.16,True,4578.75,246.24,4824.99,602.71,30.17,88.87,25,91.8,22.0,15.0,95
48,20230501,1,72,5,2022/23,Te Puke,Green,18,MainPack,1802,1733,69,3.846,16.37,0.193,True,4955.5,317.75,5273.25,644.75,29.49,88.87,24,91.8,22.0,15.0,95
49,20230508,1,73,5,2022/23,Te Puke,Green,19,MainPack,2097,2027,70,3.364,16.4,0.2,True,5766.75,385.13,6151.88,754.14,29.31,88.87,23,91.8,22.0,15.0,95
50,20230515,1,74,5,2022/23,Te Puke,Green,20,MainPack,1279,1231,48,3.823,16.43,0.207,True,3517.25,242.08,3759.33,457.99,29.17,89.02,23,91.8,18.0,15.0,95
51,20230327,1,83,6,2022/23,Te Puke,SunGold,13,KiwiStart,1324,1280,44,3.398,18.19,0.461,True,4766.4,560.58,5326.98,476.22,3.05,88.63,20,91.8,28.0,15.0,95
52,20230403,1,84,6,2022/23,Te Puke,SunGold,14,MainPack,1314,1276,38,2.926,16.2,0.022,True,4730.4,26.67,4757.07,474.73,12.76,88.46,26,91.8,32.0,15.0,95
53,20230410,1,85,6,2022/23,Te Puke,SunGold,15,MainPack,1203,1166,37,3.094,17.1,0.221,True,4330.8,244.8,4575.6,433.8,8.35,88.46,21,91.8,32.0,15.0,95
54,20230417,1,86,6,2022/23,Te Puke,SunGold,16,MainPack,1308,1261,47,3.637,16.26,0.035,True,4708.8,41.93,4750.73,469.15,12.48,88.46,26,91.8,32.0,15.0,95
55,20230424,1,87,6,2022/23,Te Puke,SunGold,17,MainPack,1624,1579,45,2.82,17.7,0.353,True,5846.4,529.52,6375.92,587.46,5.4,88.87,19,91.8,22.0,15.0,95
56,20230501,1,88,6,2022/23,Te Puke,SunGold,18,MainPack,1216,1175,41,3.393,16.59,0.108,True,4377.6,120.55,4498.15,437.15,10.86,88.87,22,91.8,22.0,15.0,95
57,20230508,1,89,6,2022/23,Te Puke,SunGold,19,MainPack,1232,1185,47,3.833,16.36,0.057,True,4435.2,64.17,4499.37,440.87,12.0,88.87,24,91.8,22.0,15.0,95
58,20230515,1,90,6,2022/23,Te Puke,SunGold,20,MainPack,1552,1478,74,4.769,16.66,0.123,True,5587.2,172.7,5759.9,549.88,10.57,89.02,21,91.8,18.0,15.0,95
59,20230522,1,91,6,2022/23,Te Puke,SunGold,21,MainPack,1093,1049,44,4.058,16.54,0.097,True,3934.8,96.67,4031.47,390.28,11.12,89.02,22,91.8,18.0,15.0,95
60,20230529,1,92,6,2022/23,Te Puke,SunGold,22,MainPack,1529,1477,52,3.433,17.06,0.212,True,5504.4,297.47,5801.87,549.51,8.57,89.02,20,91.8,18.0,15.0,95
61,20230313,1,97,7,2022/23,Te Puke,Green,11,KiwiStart,1257,1220,37,2.954,16.63,0.251,True,3456.75,290.91,3747.66,453.89,28.16,88.63,22,91.8,28.0,15.0,95
62,20230320,1,98,7,2022/23,Te Puke,Green,12,KiwiStart,1722,1657,65,3.78,17.6,0.467,True,4735.5,735.13,5470.63,616.48,23.45,88.63,20,91.8,28.0,15.0,95
63,20230327,1,99,7,2022/23,Te Puke,Green,13,KiwiStart,1756,1708,48,2.751,17.13,0.362,True,4829.0,587.38,5416.38,635.45,25.67,88.63,21,91.8,28.0,15.0,95
64,20230403,1,100,7,2022/23,Te Puke,Green,14,MainPack,1286,1247,39,3.05,16.0,0.111,True,3536.5,131.5,3668.0,463.94,31.27,88.46,29,91.8,32.0,15.0,95
65,20230410,1,101,7,2022/23,Te Puke,Green,15,MainPack,1043,1007,36,3.541,17.73,0.496,True,2868.25,474.5,3342.75,374.65,22.77,88.46,20,91.8,32.0,15.0,95
66,20230417,1,102,7,2022/23,Te Puke,Green,16,MainPack,1385,1338,47,3.455,17.04,0.342,True,3808.75,434.72,4243.47,497.8,26.17,88.46,21,91.8,32.0,15.0,95
67,20230424,1,103,7,2022/23,Te Puke,Green,17,MainPack,1234,1199,35,2.86,16.15,0.144,True,3393.5,164.02,3557.52,446.08,30.53,88.87,26,91.8,22.0,15.0,95
68,20230501,1,104,7,2022/23,Te Puke,Green,18,MainPack,1589,1556,33,2.127,17.43,0.429,True,4369.75,634.15,5003.9,578.9,24.12,88.87,20,91.8,22.0,15.0,95
69,20230508,1,105,7,2022/23,Te Puke,Green,19,MainPack,1071,1040,31,2.952,16.58,0.24,True,2945.25,237.12,3182.37,386.93,28.4,88.87,22,91.8,22.0,15.0,95
70,20230515,1,106,7,2022/23,Te Puke,Green,20,MainPack,1515,1465,50,3.314,16.9,0.311,True,4166.25,432.83,4599.08,545.05,26.85,89.02,20,91.8,18.0,15.0,95
71,20230327,1,115,8,2022/23,Te Puke,SunGold,13,KiwiStart,2266,2171,95,4.23,17.02,0.203,True,8157.6,418.68,8576.28,807.71,8.8,88.63,21,91.8,28.0,15.0,95
72,20230403,1,116,8,2022/23,Te Puke,SunGold,14,MainPack,2612,2524,88,3.391,16.91,0.179,True,9403.2,429.21,9832.41,939.04,9.29,88.46,22,91.8,32.0,15.0,95
73,20230410,1,117,8,2022/23,Te Puke,SunGold,15,MainPack,2568,2466,102,3.977,17.48,0.304,True,9244.8,712.18,9956.98,917.46,6.57,88.46,21,91.8,32.0,15.0,95
74,20230417,1,118,8,2022/23,Te Puke,SunGold,16,MainPack,1893,1811,82,4.36,16.8,0.154,True,6814.8,264.95,7079.75,673.77,9.88,88.46,22,91.8,32.0,15.0,95
75,20230424,1,119,8,2022/23,Te Puke,SunGold,17,MainPack,2621,2537,84,3.221,17.57,0.324,True,9435.6,780.89,10216.49,943.88,6.07,88.87,19,91.8,22.0,15.0,95
76,20230501,1,120,8,2022/23,Te Puke,SunGold,18,MainPack,2164,2104,60,2.79,16.82,0.159,True,7790.4,317.81,8108.21,782.78,9.71,88.87,21,91.8,22.0,15.0,95
77,20230508,1,121,8,2022/23,Te Puke,SunGold,19,MainPack,2428,2358,70,2.908,17.22,0.247,True,8740.8,553.3,9294.1,877.28,7.76,88.87,20,91.8,22.0,15.0,95
78,20230515,1,122,8,2022/23,Te Puke,SunGold,20,MainPack,2133,2065,68,3.189,16.71,0.135,True,7678.8,264.84,7943.64,768.27,10.26,89.02,21,91.8,18.0,15.0,95
79,20230522,1,123,8,2022/23,Te Puke,SunGold,21,MainPack,2499,2422,77,3.098,15.94,0.0,False,8996.4,0.0,0.0,901.09,100.0,77.02,28,91.8,18.0,15.0,95
80,20230529,1,124,8,2022/23,Te Puke,SunGold,22,MainPack,1711,1662,49,2.865,17.09,0.218,True,6159.6,344.2,6503.8,618.34,8.41,89.02,20,91.8,18.0,15.0,95
81,20230313,1,129,9,2022/23,Te Puke,Green,11,KiwiStart,585,563,22,3.801,15.95,0.1,True,1491.75,53.48,1545.23,209.46,36.35,88.63,29,91.8,28.0,15.0,95
82,20230320,1,130,9,2022/23,Te Puke,Green,12,KiwiStart,532,512,20,3.826,15.97,0.104,True,1463.0,50.59,1513.59,190.49,31.44,88.63,29,91.8,28.0,15.0,95
83,20230327,1,131,9,2022/23,Te Puke,Green,13,KiwiStart,678,651,27,4.05,15.19,0.0,False,1864.5,0.0,0.0,242.2,100.0,76.63,43,91.8,28.0,15.0,95
84,20230403,1,132,9,2022/23,Te Puke,Green,14,MainPack,428,414,14,3.304,15.68,0.04,True,1177.0,15.73,1192.73,154.03,32.85,88.46,34,91.8,32.0,15.0,95
85,20230410,1,133,9,2022/23,Te Puke,Green,15,MainPack,712,685,27,3.904,16.68,0.262,True,1958.0,170.5,2128.5,254.85,27.96,88.46,23,91.8,32.0,15.0,95
86,20230417,1,134,9,2022/23,Te Puke,Green,16,MainPack,539,516,23,4.335,16.14,0.142,True,1482.25,69.61,1551.86,191.98,30.62,88.46,27,91.8,32.0,15.0,95
87,20230424,1,135,9,2022/23,Te Puke,Green,17,MainPack,668,646,22,3.313,16.26,0.169,True,1837.0,103.72,1940.72,240.34,29.99,88.87,25,91.8,22.0,15.0,95
88,20230501,1,136,9,2022/23,Te Puke,Green,18,MainPack,594,573,21,3.699,16.2,0.156,True,1633.5,84.92,1718.42,213.18,30.29,88.87,25,91.8,22.0,15.0,95
89,20230508,1,137,9,2022/23,Te Puke,Green,19,MainPack,626,601,25,4.115,16.54,0.231,True,1721.5,131.89,1853.39,223.6,28.66,88.87,22,91.8,22.0,15.0,95
90,20230515,1,138,9,2022/23,Te Puke,Green,20,MainPack,552,534,18,3.357,16.31,0.18,True,1518.0,91.31,1609.31,198.67,29.75,89.02,24,91.8,18.0,15.0,95
91,20230327,1,147,10,2022/23,Te Puke,SunGold,13,KiwiStart,473,459,14,3.083,17.43,0.293,True,1702.8,127.76,1830.56,170.77,6.74,88.63,20,91.8,28.0,15.0,95
92,20230403,1,148,10,2022/23,Te Puke,SunGold,14,MainPack,580,562,18,3.216,16.38,0.062,True,2088.0,33.1,2121.1,209.09,11.88,88.46,25,91.8,32.0,15.0,95
93,20230410,1,149,10,2022/23,Te Puke,SunGold,15,MainPack,445,429,16,3.748,16.47,0.082,True,1602.0,33.42,1635.42,159.61,11.44,88.46,24,91.8,32.0,15.0,95
94,20230417,1,150,10,2022/23,Te Puke,SunGold,16,MainPack,646,622,24,3.797,16.94,0.185,True,2325.6,109.32,2434.92,231.41,9.18,88.46,22,91.8,32.0,15.0,95
95,20230424,1,151,10,2022/23,Te Puke,SunGold,17,MainPack,576,554,22,3.912,17.08,0.216,True,2073.6,113.68,2187.28,206.11,8.5,88.87,20,91.8,22.0,15.0,95
96,20230501,1,152,10,2022/23,Te Puke,SunGold,18,MainPack,520,501,19,3.705,16.94,0.185,True,1872.0,88.05,1960.05,186.39,9.17,88.87,20,91.8,22.0,15.0,95
97,20230508,1,153,10,2022/23,Te Puke,SunGold,19,MainPack,439,427,12,2.816,16.7,0.132,True,1580.4,53.55,1633.95,158.86,10.31,88.87,21,91.8,22.0,15.0,95
98,20230515,1,154,10,2022/23,Te Puke,SunGold,20,MainPack,573,555,18,3.251,16.59,0.108,True,2062.8,56.94,2119.74,206.48,10.86,89.02,22,91.8,18.0,15.0,95
99,20230522,1,155,10,2022/23,Te Puke,SunGold,21,MainPack,421,406,15,3.774,16.17,0.015,True,1515.6,5.79,1521.39,151.05,12.92,89.02,25,91.8,18.0,15.0,95
100,20230529,1,156,10,2022/23,Te Puke,SunGold,22,MainPack,652,635,17,2.76,16.38,0.062,True,2347.2,37.4,2384.6,236.25,11.87,89.02,23,91.8,18.0,15.0,95
101,20230313,1,161,11,2022/23,Te Puke,Green,11,KiwiStart,2333,2247,86,3.719,16.99,0.331,True,6415.75,706.57,7122.32,835.99,26.44,88.63,21,91.8,28.0,15.0,95
102,20230320,1,162,11,2022/23,Te Puke,Green,12,KiwiStart,1646,1591,55,3.377,17.44,0.431,True,4526.5,651.43,5177.93,591.92,24.2,88.63,20,91.8,28.0,15.0,95
103,20230327,1,163,11,2022/23,Te Puke,Green,13,KiwiStart,2402,2305,97,4.073,16.83,0.296,True,6605.5,648.17,7253.67,857.56,27.23,88.63,21,91.8,28.0,15.0,95
104,20230403,1,164,11,2022/23,Te Puke,Green,14,MainPack,2431,2358,73,3.005,18.44,0.653,True,6685.25,1462.79,8148.04,877.28,19.24,88.46,20,91.8,32.0,15.0,95
105,20230410,1,165,11,2022/23,Te Puke,Green,15,MainPack,1695,1629,66,3.894,17.5,0.444,True,4661.25,687.11,5348.36,606.06,23.97,88.46,21,91.8,32.0,15.0,95
106,20230417,1,166,11,2022/23,Te Puke,Green,16,MainPack,1810,1754,56,3.11,16.78,0.284,True,4977.5,473.23,5450.73,652.57,27.43,88.46,22,91.8,32.0,15.0,95
107,20230424,1,167,11,2022/23,Te Puke,Green,17,MainPack,1657,1606,51,3.134,17.68,0.484,True,4225.35,738.44,4963.79,597.5,27.82,88.87,19,91.8,22.0,15.0,95
108,20230501,1,168,11,2022/23,Te Puke,Green,18,MainPack,2143,2067,76,3.585,16.68,0.262,True,5893.25,514.48,6407.73,769.02,27.95,88.87,21,91.8,22.0,15.0,95
109,20230508,1,169,11,2022/23,Te Puke,Green,19,MainPack,2310,2220,90,3.928,16.55,0.233,True,6352.5,491.4,6843.9,825.94,28.61,88.87,22,91.8,22.0,15.0,95
110,20230515,1,170,11,2022/23,Te Puke,Green,20,MainPack,2027,1962,65,3.238,16.57,0.238,True,5574.25,443.61,6017.86,729.95,28.46,89.02,22,91.8,18.0,15.0,95
111,20230327,1,179,12,2022/23,Te Puke,SunGold,13,KiwiStart,1436,1369,67,4.71,16.21,0.024,True,5169.6,31.21,5200.81,509.33,12.73,88.63,26,91.8,28.0,15.0,95
112,20230403,1,180,12,2022/23,Te Puke,SunGold,14,MainPack,1084,1041,43,4.026,15.78,0.0,False,3902.4,0.0,0.0,387.3,100.0,76.46,32,91.8,32.0,15.0,95
113,20230410,1,181,12,2022/23,Te Puke,SunGold,15,MainPack,1317,1284,33,2.507,16.03,0.0,False,4741.2,0.0,0.0,477.71,100.0,76.46,28,91.8,32.0,15.0,95
114,20230417,1,182,12,2022/23,Te Puke,SunGold,16,MainPack,1121,1080,41,3.663,15.76,0.0,False,4035.6,0.0,0.0,401.81,100.0,76.46,33,91.8,32.0,15.0,95
115,20230424,1,183,12,2022/23,Te Puke,SunGold,17,MainPack,1037,1008,29,2.835,16.25,0.033,True,3733.2,31.6,3764.8,375.02,12.52,88.87,25,91.8,22.0,15.0,95
116,20230501,1,184,12,2022/23,Te Puke,SunGold,18,MainPack,1056,1020,36,3.44,16.44,0.075,True,3801.6,72.67,3874.27,379.49,11.59,88.87,23,91.8,22.0,15.0,95
117,20230508,1,185,12,2022/23,Te Puke,SunGold,19,MainPack,1228,1187,41,3.374,16.15,0.011,True,4420.8,12.4,4433.2,441.62,13.01,88.87,26,91.8,22.0,15.0,95
118,20230515,1,186,12,2022/23,Te Puke,SunGold,20,MainPack,913,871,42,4.696,16.46,0.079,True,3286.8,65.37,3352.17,324.05,11.53,89.02,22,91.8,18.0,15.0,95
119,20230522,1,187,12,2022/23,Te Puke,SunGold,21,MainPack,959,930,29,3.032,15.83,0.0,False,3452.4,0.0,0.0,346.0,100.0,77.02,30,91.8,18.0,15.0,95
120,20230529,1,188,12,2022/23,Te Puke,SunGold,22,MainPack,1081,1028,53,4.925,15.04,0.0,False,3891.6,0.0,0.0,382.46,100.0,77.02,44,91.8,18.0,15.0,95
121,20230327,1,195,13,2022/23,Te Puke,SunGold,13,KiwiStart,996,954,42,4.232,16.7,0.132,True,3585.6,119.63,3705.23,354.93,10.36,88.63,22,91.8,28.0,15.0,95
122,20230403,1,196,13,2022/23,Te Puke,SunGold,14,MainPack,1049,1012,37,3.562,16.35,0.055,True,3776.4,52.88,3829.28,376.51,12.04,88.46,25,91.8,32.0,15.0,95
123,20230410,1,197,13,2022/23,Te Puke,SunGold,15,MainPack,1401,1347,54,3.872,16.72,0.137,True,5043.6,175.31,5218.91,501.14,10.24,88.46,22,91.8,32.0,15.0,95
124,20230417,1,198,13,2022/23,Te Puke,SunGold,16,MainPack,1281,1238,43,3.384,16.46,0.079,True,4611.6,92.91,4704.51,460.59,11.51,88.46,24,91.8,32.0,15.0,95
125,20230424,1,199,13,2022/23,Te Puke,SunGold,17,MainPack,1234,1196,38,3.158,17.35,0.276,True,4442.4,313.59,4755.99,444.97,7.13,88.87,20,91.8,22.0,15.0,95
126,20230501,1,200,13,2022/23,Te Puke,SunGold,18,MainPack,1415,1374,41,2.944,16.16,0.013,True,5094.0,16.97,5110.97,511.19,12.96,88.87,26,91.8,22.0,15.0,95
127,20230508,1,201,13,2022/23,Te Puke,SunGold,19,MainPack,880,855,25,2.951,17.1,0.221,True,3168.0,179.51,3347.51,318.1,8.34,88.87,20,91.8,22.0,15.0,95
128,20230515,1,202,13,2022/23,Te Puke,SunGold,20,MainPack,1467,1415,52,3.581,16.91,0.179,True,5281.2,240.62,5521.82,526.44,9.3,89.02,20,91.8,18.0,15.0,95
129,20230522,1,203,13,2022/23,Te Puke,SunGold,21,MainPack,1406,1360,46,3.278,16.09,0.0,False,5061.6,0.0,0.0,505.98,100.0,77.02,26,91.8,18.0,15.0,95
130,20230529,1,204,13,2022/23,Te Puke,SunGold,22,MainPack,1107,1070,37,3.407,16.67,0.126,True,3985.2,128.08,4113.28,398.09,10.47,89.02,21,91.8,18.0,15.0,95
131,20230313,1,209,14,2022/23,Te Puke,Green,11,KiwiStart,994,969,25,2.528,17.11,0.358,True,2733.5,329.56,3063.06,360.51,25.75,88.63,21,91.8,28.0,15.0,95
132,20230320,1,210,14,2022/23,Te Puke,Green,12,KiwiStart,906,882,24,2.707,16.31,0.18,True,2491.5,150.82,2642.32,328.14,29.72,88.63,25,91.8,28.0,15.0,95
133,20230327,1,211,14,2022/23,Te Puke,Green,13,KiwiStart,1129,1073,56,5.008,16.27,0.171,True,3104.75,174.31,3279.06,399.2,30.01,88.63,25,91.8,28.0,15.0,95
134,20230403,1,212,14,2022/23,Te Puke,Green,14,MainPack,1130,1084,46,4.139,16.01,0.113,True,3107.5,116.37,3223.87,403.3,31.25,88.46,29,91.8,32.0,15.0,95
135,20230410,1,213,14,2022/23,Te Puke,Green,15,MainPack,1312,1269,43,3.29,16.71,0.269,True,3608.0,324.29,3932.29,472.13,27.78,88.46,22,91.8,32.0,15.0,95
136,20230417,1,214,14,2022/23,Te Puke,Green,16,MainPack,933,904,29,3.175,17.09,0.353,True,2565.75,303.16,2868.91,336.33,25.91,88.46,21,91.8,32.0,15.0,95
137,20230424,1,215,14,2022/23,Te Puke,Green,17,MainPack,1070,1033,37,3.476,16.6,0.244,True,2942.5,239.45,3181.95,384.32,28.34,88.87,22,91.8,22.0,15.0,95
138,20230501,1,216,14,2022/23,Te Puke,Green,18,MainPack,860,832,28,3.306,17.74,0.498,True,2365.0,393.62,2758.62,309.54,22.71,88.87,19,91.8,22.0,15.0,95
139,20230508,1,217,14,2022/23,Te Puke,Green,19,MainPack,1041,1014,27,2.625,16.63,0.251,True,2862.75,241.79,3104.54,377.25,28.14,88.87,22,91.8,22.0,15.0,95
