fruit_key,kpin,season,subzone,variety,growing_method,pack_week,reading_date,dm_pct,mts_threshold,mts_status,tzg_score,tzg_grade,pest_indicator,maturity_area,sample_size
51,100003,2022/23,Te Puke,SunGold,conventional,13,2023-03-27,17.1,16.1,PASS,0.221,C,0,100003_13,90
52,100003,2022/23,Te Puke,SunGold,conventional,14,2023-04-03,16.39,16.1,PASS,0.064,D,0,100003_14,90
53,100003,2022/23,Te Puke,SunGold,conventional,15,2023-04-10,17.08,16.1,PASS,0.216,C,0,100003_15,90
54,100003,2022/23,Te Puke,SunGold,conventional,16,2023-04-17,16.98,16.1,PASS,0.194,D,0,100003_16,90
55,100003,2022/23,Te Puke,SunGold,conventional,17,2023-04-24,16.16,16.1,PASS,0.013,D,0,100003_17,90
56,100003,2022/23,Te Puke,SunGold,conventional,18,2023-05-01,17.44,16.1,PASS,0.295,C,0,100003_18,90
57,100003,2022/23,Te Puke,SunGold,conventional,19,2023-05-08,17.05,16.1,PASS,0.209,C,0,100003_19,90
58,100003,2022/23,Te Puke,SunGold,conventional,20,2023-05-15,17.03,16.1,PASS,0.205,C,0,100003_20,90
59,100003,2022/23,Te Puke,SunGold,conventional,21,2023-05-22,15.95,16.1,FAIL,0.0,F,0,100003_21,90
60,100003,2022/23,Te Puke,SunGold,conventional,22,2023-05-29,16.75,16.1,PASS,0.143,D,0,100003_22,90
61,100003,2022/23,Te Puke,SunGold,conventional,23,2023-06-05,16.33,16.1,PASS,0.051,D,0,100003_23,90
62,100003,2022/23,Te Puke,SunGold,conventional,24,2023-06-12,15.67,16.1,FAIL,0.0,F,0,100003_24,90
63,100003,2022/23,Te Puke,SunGold,conventional,25,2023-06-19,16.04,16.1,FAIL,0.0,F,0,100003_25,90
64,100003,2022/23,Te Puke,SunGold,conventional,26,2023-06-26,16.05,16.1,FAIL,0.0,F,0,100003_26,90
65,100004,2022/23,Te Puke,Green,conventional,11,2023-03-13,16.38,15.5,PASS,0.196,D,0,100004_11,90
66,100004,2022/23,Te Puke,Green,conventional,12,2023-03-20,15.97,15.5,PASS,0.104,D,0,100004_12,90
67,100004,2022/23,Te Puke,Green,conventional,13,2023-03-27,16.97,15.5,PASS,0.327,C,0,100004_13,90
68,100004,2022/23,Te Puke,Green,conventional,14,2023-04-03,16.71,15.5,PASS,0.269,C,0,100004_14,90
69,100004,2022/23,Te Puke,Green,conventional,15,2023-04-10,16.53,15.5,PASS,0.229,C,0,100004_15,90
70,100004,2022/23,Te Puke,Green,conventional,16,2023-04-17,17.2,15.5,PASS,0.378,C,0,100004_16,90
71,100004,2022/23,Te Puke,Green,conventional,17,2023-04-24,16.22,15.5,PASS,0.16,D,0,100004_17,90
72,100004,2022/23,Te Puke,Green,conventional,18,2023-05-01,16.37,15.5,PASS,0.193,D,0,100004_18,90
73,100004,2022/23,Te Puke,Green,conventional,19,2023-05-08,16.4,15.5,PASS,0.2,C,0,100004_19,90
74,100004,2022/23,Te Puke,Green,conventional,20,2023-05-15,16.43,15.5,PASS,0.207,C,0,100004_20,90
75,100004,2022/23,Te Puke,Green,conventional,21,2023-05-22,15.91,15.5,PASS,0.091,D,0,100004_21,90
76,100004,2022/23,Te Puke,Green,conventional,22,2023-05-29,16.37,15.5,PASS,0.193,D,0,100004_22,90
77,100004,2022/23,Te Puke,Green,conventional,23,2023-06-05,15.36,15.5,FAIL,0.0,F,0,100004_23,90
78,100004,2022/23,Te Puke,Green,conventional,24,2023-06-12,16.34,15.5,PASS,0.187,D,0,100004_24,90
79,100004,2022/23,Te Puke,Green,conventional,25,2023-06-19,15.3,15.5,FAIL,0.0,F,0,100004_25,90
80,100004,2022/23,Te Puke,Green,conventional,26,2023-06-26,15.69,15.5,PASS,0.042,D,0,100004_26,90
81,100005,2022/23,Te Puke,SunGold,conventional,11,2023-03-13,16.86,16.1,PASS,0.168,D,1,100005_11,90
82,100005,2022/23,Te Puke,SunGold,conventional,12,2023-03-20,16.27,16.1,PASS,0.037,D,1,100005_12,90
83,100005,2022/23,Te Puke,SunGold,conventional,13,2023-03-27,18.19,16.1,PASS,0.461,B,1,100005_13,90
84,100005,2022/23,Te Puke,SunGold,conventional,14,2023-04-03,16.2,16.1,PASS,0.022,D,1,100005_14,90
85,100005,2022/23,Te Puke,SunGold,conventional,15,2023-04-10,17.1,16.1,PASS,0.221,C,1,100005_15,90
86,100005,2022/23,Te Puke,SunGold,conventional,16,2023-04-17,16.26,16.1,PASS,0.035,D,1,100005_16,90
87,100005,2022/23,Te Puke,SunGold,conventional,17,2023-04-24,17.7,16.1,PASS,0.353,C,1,100005_17,90
88,100005,2022/23,Te Puke,SunGold,conventional,18,2023-05-01,16.59,16.1,PASS,0.108,D,1,100005_18,90
89,100005,2022/23,Te Puke,SunGold,conventional,19,2023-05-08,16.36,16.1,PASS,0.057,D,1,100005_19,90
90,100005,2022/23,Te Puke,SunGold,conventional,20,2023-05-15,16.66,16.1,PASS,0.123,D,1,100005_20,90
91,100005,2022/23,Te Puke,SunGold,conventional,21,2023-05-22,16.54,16.1,PASS,0.097,D,1,100005_21,90
92,100005,2022/23,Te Puke,SunGold,conventional,22,2023-05-29,17.06,16.1,PASS,0.212,C,1,100005_22,90
93,100005,2022/23,Te Puke,SunGold,conventional,23,2023-06-05,15.77,16.1,FAIL,0.0,F,1,100005_23,90
94,100005,2022/23,Te Puke,SunGold,conventional,24,2023-06-12,15.64,16.1,FAIL,0.0,F,1,100005_24,90
95,100005,2022/23,Te Puke,SunGold,conventional,25,2023-06-19,17.08,16.1,PASS,0.216,C,1,100005_25,90
96,100005,2022/23,Te Puke,SunGold,conventional,26,2023-06-26,16.72,16.1,PASS,0.137,D,1,100005_26,90
97,100006,2022/23,Te Puke,Green,conventional,11,2023-03-13,16.63,15.5,PASS,0.251,C,0,100006_11,90
98,100006,2022/23,Te Puke,Green,conventional,12,2023-03-20,17.6,15.5,PASS,0.467,B,0,100006_12,90
99,100006,2022/23,Te Puke,Green,conventional,13,2023-03-27,17.13,15.5,PASS,0.362,C,0,100006_13,90
100,100006,2022/23,Te Puke,Green,conventional,14,2023-04-03,16.0,15.5,PASS,0.111,D,0,100006_14,90
101,100006,2022/23,Te Puke,Green,conventional,15,2023-04-10,17.73,15.5,PASS,0.496,B,0,100006_15,90
102,100006,2022/23,Te Puke,Green,conventional,16,2023-04-17,17.04,15.5,PASS,0.342,C,0,100006_16,90
103,100006,2022/23,Te Puke,Green,conventional,17,2023-04-24,16.15,15.5,PASS,0.144,D,0,100006_17,90
104,100006,2022/23,Te Puke,Green,conventional,18,2023-05-01,17.43,15.5,PASS,0.429,B,0,100006_18,90
105,100006,2022/23,Te Puke,Green,conventional,19,2023-05-08,16.58,15.5,PASS,0.24,C,0,100006_19,90
106,100006,2022/23,Te Puke,Green,conventional,20,2023-05-15,16.9,15.5,PASS,0.311,C,0,100006_20,90
107,100006,2022/23,Te Puke,Green,conventional,21,2023-05-22,17.13,15.5,PASS,0.362,C,0,100006_21,90
108,100006,2022/23,Te Puke,Green,conventional,22,2023-05-29,16.35,15.5,PASS,0.189,D,0,100006_22,90
109,100006,2022/23,Te Puke,Green,conventional,23,2023-06-05,16.22,15.5,PASS,0.16,D,0,100006_23,90
110,100006,2022/23,Te Puke,Green,conventional,24,2023-06-12,16.19,15.5,PASS,0.153,D,0,100006_24,90
111,100006,2022/23,Te Puke,Green,conventional,25,2023-06-19,17.02,15.5,PASS,0.338,C,0,100006_25,90
112,100006,2022/23,Te Puke,Green,conventional,26,2023-06-26,16.35,15.5,PASS,0.189,D,0,100006_26,90
113,100007,2022/23,Te Puke,SunGold,conventional,11,2023-03-13,17.93,16.1,PASS,0.404,B,0,100007_11,90
114,100007,2022/23,Te Puke,SunGold,conventional,12,2023-03-20,16.89,16.1,PASS,0.174,D,0,100007_12,90
115,100007,2022/23,Te Puke,SunGold,conventional,13,2023-03-27,17.02,16.1,PASS,0.203,C,0,100007_13,90
116,100007,2022/23,Te Puke,SunGold,conventional,14,2023-04-03,16.91,16.1,PASS,0.179,D,0,100007_14,90
117,100007,2022/23,Te Puke,SunGold,conventional,15,2023-04-10,17.48,16.1,PASS,0.304,C,0,100007_15,90
118,100007,2022/23,Te Puke,SunGold,conventional,16,2023-04-17,16.8,16.1,PASS,0.154,D,0,100007_16,90
119,100007,2022/23,Te Puke,SunGold,conventional,17,2023-04-24,17.57,16.1,PASS,0.324,C,0,100007_17,90
120,100007,2022/23,Te Puke,SunGold,conventional,18,2023-05-01,16.82,16.1,PASS,0.159,D,0,100007_18,90
121,100007,2022/23,Te Puke,SunGold,conventional,19,2023-05-08,17.22,16.1,PASS,0.247,C,0,100007_19,90
122,100007,2022/23,Te Puke,SunGold,conventional,20,2023-05-15,16.71,16.1,PASS,0.135,D,0,100007_20,90
123,100007,2022/23,Te Puke,SunGold,conventional,21,2023-05-22,15.94,16.1,FAIL,0.0,F,0,100007_21,90
124,100007,2022/23,Te Puke,SunGold,conventional,22,2023-05-29,17.09,16.1,PASS,0.218,C,0,100007_22,90
125,100007,2022/23,Te Puke,SunGold,conventional,23,2023-06-05,16.25,16.1,PASS,0.033,D,0,100007_23,90
126,100007,2022/23,Te Puke,SunGold,conventional,24,2023-06-12,15.91,16.1,FAIL,0.0,F,0,100007_24,90
127,100007,2022/23,Te Puke,SunGold,conventional,25,2023-06-19,16.66,16.1,PASS,0.123,D,0,100007_25,90
128,100007,2022/23,Te Puke,SunGold,conventional,26,2023-06-26,16.23,16.1,PASS,0.029,D,0,100007_26,90
129,100008,2022/23,Te Puke,Green,conventional,11,2023-03-13,15.95,15.5,PASS,0.1,D,0,100008_11,90
130,100008,2022/23,Te Puke,Green,conventional,12,2023-03-20,15.97,15.5,PASS,0.104,D,0,100008_12,90
131,100008,2022/23,Te Puke,Green,conventional,13,2023-03-27,15.19,15.5,FAIL,0.0,F,0,100008_13,90
132,100008,2022/23,Te Puke,Green,conventional,14,2023-04-03,15.68,15.5,PASS,0.04,D,0,100008_14,90
133,100008,2022/23,Te Puke,Green,conventional,15,2023-04-10,16.68,15.5,PASS,0.262,C,0,100008_15,90
134,100008,2022/23,Te Puke,Green,conventional,16,2023-04-17,16.14,15.5,PASS,0.142,D,0,100008_16,90
135,100008,2022/23,Te Puke,Green,conventional,17,2023-04-24,16.26,15.5,PASS,0.169,D,0,100008_17,90
136,100008,2022/23,Te Puke,Green,conventional,18,2023-05-01,16.2,15.5,PASS,0.156,D,0,100008_18,90
137,100008,2022/23,Te Puke,Green,conventional,19,2023-05-08,16.54,15.5,PASS,0.231,C,0,100008_19,90
138,100008,2022/23,Te Puke,Green,conventional,20,2023-05-15,16.31,15.5,PASS,0.18,D,0,100008_20,90
139,100008,2022/23,Te Puke,Green,conventional,21,2023-05-22,16.21,15.5,PASS,0.158,D,0,100008_21,90
140,100008,2022/23,Te Puke,Green,conventional,22,2023-05-29,15.32,15.5,FAIL,0.0,F,0,100008_22,90
141,100008,2022/23,Te Puke,Green,conventional,23,2023-06-05,14.75,15.5,FAIL,0.0,F,0,100008_23,90
142,100008,2022/23,Te Puke,Green,conventional,24,2023-06-12,15.02,15.5,FAIL,0.0,F,0,100008_24,90
143,100008,2022/23,Te Puke,Green,conventional,25,2023-06-19,15.89,15.5,PASS,0.087,D,0,100008_25,90
144,100008,2022/23,Te Puke,Green,conventional,26,2023-06-26,15.8,15.5,PASS,0.067,D,0,100008_26,90
145,100009,2022/23,Te Puke,SunGold,conventional,11,2023-03-13,17.01,16.1,PASS,0.201,C,0,100009_11,90
146,100009,2022/23,Te Puke,SunGold,conventional,12,2023-03-20,16.67,16.1,PASS,0.126,D,0,100009_12,90
147,100009,2022/23,Te Puke,SunGold,conventional,13,2023-03-27,17.43,16.1,PASS,0.293,C,0,100009_13,90
148,100009,2022/23,Te Puke,SunGold,conventional,14,2023-04-03,16.38,16.1,PASS,0.062,D,0,100009_14,90
149,100009,2022/23,Te Puke,SunGold,conventional,15,2023-04-10,16.47,16.1,PASS,0.082,D,0,100009_15,90
150,100009,2022/23,Te Puke,SunGold,conventional,16,2023-04-17,16.94,16.1,PASS,0.185,D,0,100009_16,90
151,100009,2022/23,Te Puke,SunGold,conventional,17,2023-04-24,17.08,16.1,PASS,0.216,C,0,100009_17,90
152,100009,2022/23,Te Puke,SunGold,conventional,18,2023-05-01,16.94,16.1,PASS,0.185,D,0,100009_18,90
153,100009,2022/23,Te Puke,SunGold,conventional,19,2023-05-08,16.7,16.1,PASS,0.132,D,0,100009_19,90
154,100009,2022/23,Te Puke,SunGold,conventional,20,2023-05-15,16.59,16.1,PASS,0.108,D,0,100009_20,90
155,100009,2022/23,Te Puke,SunGold,conventional,21,2023-05-22,16.17,16.1,PASS,0.015,D,0,100009_21,90
156,100009,2022/23,Te Puke,SunGold,conventional,22,2023-05-29,16.38,16.1,PASS,0.062,D,0,100009_22,90
157,100009,2022/23,Te Puke,SunGold,conventional,23,2023-06-05,15.6,16.1,FAIL,0.0,F,0,100009_23,90
158,100009,2022/23,Te Puke,SunGold,conventional,24,2023-06-12,16.22,16.1,PASS,0.026,D,0,100009_24,90
159,100009,2022/23,Te Puke,SunGold,conventional,25,2023-06-19,15.68,16.1,FAIL,0.0,F,0,100009_25,90
160,100009,2022/23,Te Puke,SunGold,conventional,26,2023-06-26,15.04,16.1,FAIL,0.0,F,0,100009_26,90
161,100010,2022/23,Te Puke,Green,conventional,11,2023-03-13,16.99,15.5,PASS,0.331,C,0,100010_11,90
162,100010,2022/23,Te Puke,Green,conventional,12,2023-03-20,17.44,15.5,PASS,0.431,B,0,100010_12,90
163,100010,2022/23,Te Puke,Green,conventional,13,2023-03-27,16.83,15.5,PASS,0.296,C,0,100010_13,90
164,100010,2022/23,Te Puke,Green,conventional,14,2023-04-03,18.44,15.5,PASS,0.653,A,0,100010_14,90
165,100010,2022/23,Te Puke,Green,conventional,15,2023-04-10,17.5,15.5,PASS,0.444,B,0,100010_15,90
166,100010,2022/23,Te Puke,Green,conventional,16,2023-04-17,16.78,15.5,PASS,0.284,C,0,100010_16,90
167,100010,2022/23,Te Puke,Green,conventional,17,2023-04-24,17.68,15.5,PASS,0.484,B,0,100010_17,90
168,100010,2022/23,Te Puke,Green,conventional,18,2023-05-01,16.68,15.5,PASS,0.262,C,0,100010_18,90
169,100010,2022/23,Te Puke,Green,conventional,19,2023-05-08,16.55,15.5,PASS,0.233,C,0,100010_19,90
170,100010,2022/23,Te Puke,Green,conventional,20,2023-05-15,16.57,15.5,PASS,0.238,C,0,100010_20,90
171,100010,2022/23,Te Puke,Green,conventional,21,2023-05-22,16.3,15.5,PASS,0.178,D,0,100010_21,90
172,100010,2022/23,Te Puke,Green,conventional,22,2023-05-29,15.85,15.5,PASS,0.078,D,0,100010_22,90
173,100010,2022/23,Te Puke,Green,conventional,23,2023-06-05,16.24,15.5,PASS,0.164,D,0,100010_23,90
174,100010,2022/23,Te Puke,Green,conventional,24,2023-06-12,16.19,15.5,PASS,0.153,D,0,100010_24,90
175,100010,2022/23,Te Puke,Green,conventional,25,2023-06-19,16.41,15.5,PASS,0.202,C,0,100010_25,90
176,100010,2022/23,Te Puke,Green,conventional,26,2023-06-26,16.47,15.5,PASS,0.216,C,0,100010_26,90
177,100011,2022/23,Te Puke,SunGold,conventional,11,2023-03-13,16.8,16.1,PASS,0.154,D,0,100011_11,90
178,100011,2022/23,Te Puke,SunGold,conventional,12,2023-03-20,16.55,16.1,PASS,0.099,D,0,100011_12,90
179,100011,2022/23,Te Puke,SunGold,conventional,13,2023-03-27,16.21,16.1,PASS,0.024,D,0,100011_13,90
180,100011,2022/23,Te Puke,SunGold,conventional,14,2023-04-03,15.78,16.1,FAIL,0.0,F,0,100011_14,90
181,100011,2022/23,Te Puke,SunGold,conventional,15,2023-04-10,16.03,16.1,FAIL,0.0,F,0,100011_15,90
182,100011,2022/23,Te Puke,SunGold,conventional,16,2023-04-17,15.76,16.1,FAIL,0.0,F,0,100011_16,90
183,100011,2022/23,Te Puke,SunGold,conventional,17,2023-04-24,16.25,16.1,PASS,0.033,D,0,100011_17,90
184,100011,2022/23,Te Puke,SunGold,conventional,18,2023-05-01,16.44,16.1,PASS,0.075,D,0,100011_18,90
185,100011,2022/23,Te Puke,SunGold,conventional,19,2023-05-08,16.15,16.1,PASS,0.011,D,0,100011_19,90
186,100011,2022/23,Te Puke,SunGold,conventional,20,2023-05-15,16.46,16.1,PASS,0.079,D,0,100011_20,90
187,100011,2022/23,Te Puke,SunGold,conventional,21,2023-05-22,15.83,16.1,FAIL,0.0,F,0,100011_21,90
188,100011,2022/23,Te Puke,SunGold,conventional,22,2023-05-29,15.04,16.1,FAIL,0.0,F,0,100011_22,90
189,100011,2022/23,Te Puke,SunGold,conventional,23,2023-06-05,16.08,16.1,FAIL,0.0,F,0,100011_23,90
190,100011,2022/23,Te Puke,SunGold,conventional,24,2023-06-12,15.96,16.1,FAIL,0.0,F,0,100011_24,90
191,100011,2022/23,Te Puke,SunGold,conventional,25,2023-06-19,15.41,16.1,FAIL,0.0,F,0,100011_25,90
192,100011,2022/23,Te Puke,SunGold,conventional,26,2023-06-26,15.42,16.1,FAIL,0.0,F,0,100011_26,90
193,100012,2022/23,Te Puke,SunGold,conventional,11,2023-03-13,16.81,16.1,PASS,0.157,D,0,100012_11,90
194,100012,2022/23,Te Puke,SunGold,conventional,12,2023-03-20,16.94,16.1,PASS,0.185,D,0,100012_12,90
195,100012,2022/23,Te Puke,SunGold,conventional,13,2023-03-27,16.7,16.1,PASS,0.132,D,0,100012_13,90
196,100012,2022/23,Te Puke,SunGold,conventional,14,2023-04-03,16.35,16.1,PASS,0.055,D,0,100012_14,90
197,100012,2022/23,Te Puke,SunGold,conventional,15,2023-04-10,16.72,16.1,PASS,0.137,D,0,100012_15,90
198,100012,2022/23,Te Puke,SunGold,conventional,16,2023-04-17,16.46,16.1,PASS,0.079,D,0,100012_16,90
199,100012,2022/23,Te Puke,SunGold,conventional,17,2023-04-24,17.35,16.1,PASS,0.276,C,0,100012_17,90
200,100012,2022/23,Te Puke,SunGold,conventional,18,2023-05-01,16.16,16.1,PASS,0.013,D,0,100012_18,90
201,100012,2022/23,Te Puke,SunGold,conventional,19,2023-05-08,17.1,16.1,PASS,0.221,C,0,100012_19,90
202,100012,2022/23,Te Puke,SunGold,conventional,20,2023-05-15,16.91,16.1,PASS,0.179,D,0,100012_20,90
203,100012,2022/23,Te Puke,SunGold,conventional,21,2023-05-22,16.09,16.1,FAIL,0.0,F,0,100012_21,90
204,100012,2022/23,Te Puke,SunGold,conventional,22,2023-05-29,16.67,16.1,PASS,0.126,D,0,100012_22,90
205,100012,2022/23,Te Puke,SunGold,conventional,23,2023-06-05,15.97,16.1,FAIL,0.0,F,0,100012_23,90
206,100012,2022/23,Te Puke,SunGold,conventional,24,2023-06-12,15.6,16.1,FAIL,0.0,F,0,100012_24,90
207,100012,2022/23,Te Puke,SunGold,conventional,25,2023-06-19,16.27,16.1,PASS,0.037,D,0,100012_25,90
208,100012,2022/23,Te Puke,SunGold,conventional,26,2023-06-26,15.82,16.1,FAIL,0.0,F,0,100012_26,90
209,100013,2022/23,Te Puke,Green,conventional,11,2023-03-13,17.11,15.5,PASS,0.358,C,0,100013_11,90
210,100013,2022/23,Te Puke,Green,conventional,12,2023-03-20,16.31,15.5,PASS,0.18,D,0,100013_12,90
211,100013,2022/23,Te Puke,Green,conventional,13,2023-03-27,16.27,15.5,PASS,0.171,D,0,100013_13,90
212,100013,2022/23,Te Puke,Green,conventional,14,2023-04-03,16.01,15.5,PASS,0.113,D,0,100013_14,90
213,100013,2022/23,Te Puke,Green,conventional,15,2023-04-10,16.71,15.5,PASS,0.269,C,0,100013_15,90
214,100013,2022/23,Te Puke,Green,conventional,16,2023-04-17,17.09,15.5,PASS,0.353,C,0,100013_16,90
215,100013,2022/23,Te Puke,Green,conventional,17,2023-04-24,16.6,15.5,PASS,0.244,C,0,100013_17,90
216,100013,2022/23,Te Puke,Green,conventional,18,2023-05-01,17.74,15.5,PASS,0.498,B,0,100013_18,90
217,100013,2022/23,Te Puke,Green,conventional,19,2023-05-08,16.63,15.5,PASS,0.251,C,0,100013_19,90
218,100013,2022/23,Te Puke,Green,conventional,20,2023-05-15,16.3,15.5,PASS,0.178,D,0,100013_20,90
219,100013,2022/23,Te Puke,Green,conventional,21,2023-05-22,15.82,15.5,PASS,0.071,D,0,100013_21,90
220,100013,2022/23,Te Puke,Green,conventional,22,2023-05-29,16.55,15.5,PASS,0.233,C,0,100013_22,90
221,100013,2022/23,Te Puke,Green,conventional,23,2023-06-05,15.58,15.5,PASS,0.018,D,0,100013_23,90
222,100013,2022/23,Te Puke,Green,conventional,24,2023-06-12,15.47,15.5,FAIL,0.0,F,0,100013_24,90
223,100013,2022/23,Te Puke,Green,conventional,25,2023-06-19,15.34,15.5,FAIL,0.0,F,0,100013_25,90
224,100013,2022/23,Te Puke,Green,conventional,26,2023-06-26,16.13,15.5,PASS,0.14,D,0,100013_26,90
225,100014,2022/23,Te Puke,Green,conventional,11,2023-03-13,17.15,15.5,PASS,0.367,C,0,100014_11,90
226,100014,2022/23,Te Puke,Green,conventional,12,2023-03-20,17.35,15.5,PASS,0.411,B,0,100014_12,90
227,100014,2022/23,Te Puke,Green,conventional,13,2023-03-27,17.19,15.5,PASS,0.376,C,0,100014_13,90
228,100014,2022/23,Te Puke,Green,conventional,14,2023-04-03,17.04,15.5,PASS,0.342,C,0,100014_14,90
229,100014,2022/23,Te Puke,Green,conventional,15,2023-04-10,16.89,15.5,PASS,0.309,C,0,100014_15,90
230,100014,2022/23,Te Puke,Green,conventional,16,2023-04-17,17.2,15.5,PASS,0.378,C,0,100014_16,90
