season,kpin,subzone,variety,pack_week,event_date,trays_lost,loss_pct,primary_cause,ccp_triggered,market_block_risk,dm_at_event,mts_pass,financial_impact_nzd
2022/23,100007,Te Puke,SunGold,15,2023-04-10,102,3.977,COOLSTORE_CCP5,True,False,17.48,True,326.4
2022/23,100007,Te Puke,SunGold,16,2023-04-17,82,4.36,PEST_CCP3,True,True,16.8,True,262.4
2022/23,100007,Te Puke,SunGold,17,2023-04-24,84,3.221,PEST_CCP2,True,False,17.57,True,268.8
2022/23,100007,Te Puke,SunGold,18,2023-05-01,60,2.79,PEST_CCP2,True,False,16.82,True,192.0
2022/23,100007,Te Puke,SunGold,19,2023-05-08,70,2.908,MECHANICAL,False,False,17.22,True,224.0
2022/23,100007,Te Puke,SunGold,20,2023-05-15,68,3.189,PEST_CCP3,True,True,16.71,True,217.6
2022/23,100007,Te Puke,SunGold,21,2023-05-22,77,3.098,MTS_BREACH,False,False,15.94,False,8996.4
2022/23,100007,Te Puke,SunGold,22,2023-05-29,49,2.865,MECHANICAL,False,False,17.09,True,156.8
2022/23,100008,Te Puke,Green,11,2023-03-13,22,3.801,MECHANICAL,False,False,15.95,True,70.4
2022/23,100008,Te Puke,Green,12,2023-03-20,20,3.826,WEATHER,False,False,15.97,True,64.0
2022/23,100008,Te Puke,Green,13,2023-03-27,27,4.05,MTS_BREACH,False,False,15.19,False,1864.5
2022/23,100008,Te Puke,Green,14,2023-04-03,14,3.304,MECHANICAL,False,False,15.68,True,44.8
2022/23,100008,Te Puke,Green,15,2023-04-10,27,3.904,MECHANICAL,False,False,16.68,True,86.4
2022/23,100008,Te Puke,Green,16,2023-04-17,23,4.335,MECHANICAL,False,False,16.14,True,73.6
2022/23,100008,Te Puke,Green,17,2023-04-24,22,3.313,MECHANICAL,False,False,16.26,True,70.4
2022/23,100008,Te Puke,Green,18,2023-05-01,21,3.699,WEATHER,False,False,16.2,True,67.2
2022/23,100008,Te Puke,Green,19,2023-05-08,25,4.115,MECHANICAL,False,False,16.54,True,80.0
2022/23,100008,Te Puke,Green,20,2023-05-15,18,3.357,MECHANICAL,False,False,16.31,True,57.6
2022/23,100009,Te Puke,SunGold,13,2023-03-27,14,3.083,MECHANICAL,False,False,17.43,True,44.8
2022/23,100009,Te Puke,SunGold,14,2023-04-03,18,3.216,MECHANICAL,False,False,16.38,True,57.6
2022/23,100009,Te Puke,SunGold,15,2023-04-10,16,3.748,MECHANICAL,False,False,16.47,True,51.2
2022/23,100009,Te Puke,SunGold,16,2023-04-17,24,3.797,MECHANICAL,False,False,16.94,True,76.8
2022/23,100009,Te Puke,SunGold,17,2023-04-24,22,3.912,MECHANICAL,False,False,17.08,True,70.4
2022/23,100009,Te Puke,SunGold,18,2023-05-01,19,3.705,MECHANICAL,False,False,16.94,True,60.8
2022/23,100009,Te Puke,SunGold,19,2023-05-08,12,2.816,WEATHER,False,False,16.7,True,38.4
2022/23,100009,Te Puke,SunGold,20,2023-05-15,18,3.251,COOLSTORE_CCP5,True,False,16.59,True,57.6
2022/23,100009,Te Puke,SunGold,21,2023-05-22,15,3.774,PEST_CCP3,True,True,16.17,True,48.0
2022/23,100009,Te Puke,SunGold,22,2023-05-29,17,2.76,COOLSTORE_CCP5,True,False,16.38,True,54.4
2022/23,100010,Te Puke,Green,11,2023-03-13,86,3.719,MECHANICAL,False,False,16.99,True,275.2
2022/23,100010,Te Puke,Green,12,2023-03-20,55,3.377,COOLSTORE_CCP5,True,False,17.44,True,176.0
2022/23,100010,Te Puke,Green,13,2023-03-27,97,4.073,PEST_CCP2,True,False,16.83,True,310.4
2022/23,100010,Te Puke,Green,14,2023-04-03,73,3.005,MECHANICAL,False,False,18.44,True,233.6
2022/23,100010,Te Puke,Green,15,2023-04-10,66,3.894,COOLSTORE_CCP5,True,False,17.5,True,211.2
2022/23,100010,Te Puke,Green,16,2023-04-17,56,3.11,WEATHER,False,False,16.78,True,179.2
2022/23,100010,Te Puke,Green,17,2023-04-24,51,3.134,MECHANICAL,False,False,17.68,True,163.2
2022/23,100010,Te Puke,Green,18,2023-05-01,76,3.585,MECHANICAL,False,False,16.68,True,243.2
2022/23,100010,Te Puke,Green,19,2023-05-08,90,3.928,PEST_CCP2,True,False,16.55,True,288.0
2022/23,100010,Te Puke,Green,20,2023-05-15,65,3.238,MECHANICAL,False,False,16.57,True,208.0
2022/23,100011,Te Puke,SunGold,13,2023-03-27,67,4.71,COOLSTORE_CCP5,True,False,16.21,True,214.4
2022/23,100011,Te Puke,SunGold,14,2023-04-03,43,4.026,MTS_BREACH,False,False,15.78,False,3902.4
2022/23,100011,Te Puke,SunGold,15,2023-04-10,33,2.507,MTS_BREACH,False,False,16.03,False,4741.2
2022/23,100011,Te Puke,SunGold,16,2023-04-17,41,3.663,MTS_BREACH,False,False,15.76,False,4035.6
2022/23,100011,Te Puke,SunGold,17,2023-04-24,29,2.835,PEST_CCP2,True,False,16.25,True,92.8
2022/23,100011,Te Puke,SunGold,18,2023-05-01,36,3.44,MECHANICAL,False,False,16.44,True,115.2
2022/23,100011,Te Puke,SunGold,19,2023-05-08,41,3.374,MECHANICAL,False,False,16.15,True,131.2
2022/23,100011,Te Puke,SunGold,20,2023-05-15,42,4.696,PEST_CCP2,True,False,16.46,True,134.4
2022/23,100011,Te Puke,SunGold,21,2023-05-22,29,3.032,MTS_BREACH,False,False,15.83,False,3452.4
2022/23,100011,Te Puke,SunGold,22,2023-05-29,53,4.925,MTS_BREACH,False,False,15.04,False,3891.6
2022/23,100012,Te Puke,SunGold,13,2023-03-27,42,4.232,MECHANICAL,False,False,16.7,True,134.4
2022/23,100012,Te Puke,SunGold,14,2023-04-03,37,3.562,OTHER,False,False,16.35,True,118.4
2022/23,100012,Te Puke,SunGold,15,2023-04-10,54,3.872,MECHANICAL,False,False,16.72,True,172.8
2022/23,100012,Te Puke,SunGold,16,2023-04-17,43,3.384,COOLSTORE_CCP5,True,False,16.46,True,137.6
2022/23,100012,Te Puke,SunGold,17,2023-04-24,38,3.158,MECHANICAL,False,False,17.35,True,121.6
2022/23,100012,Te Puke,SunGold,18,2023-05-01,41,2.944,PEST_CCP2,True,False,16.16,True,131.2
2022/23,100012,Te Puke,SunGold,19,2023-05-08,25,2.951,PEST_CCP2,True,False,17.1,True,80.0
2022/23,100012,Te Puke,SunGold,20,2023-05-15,52,3.581,COOLSTORE_CCP5,True,False,16.91,True,166.4
2022/23,100012,Te Puke,SunGold,21,2023-05-22,46,3.278,MTS_BREACH,False,False,16.09,False,5061.6
2022/23,100012,Te Puke,SunGold,22,2023-05-29,37,3.407,PEST_CCP2,True,False,16.67,True,118.4
2022/23,100013,Te Puke,Green,11,2023-03-13,25,2.528,COOLSTORE_CCP5,True,False,17.11,True,80.0
2022/23,100013,Te Puke,Green,12,2023-03-20,24,2.707,MECHANICAL,False,False,16.31,True,76.8
2022/23,100013,Te Puke,Green,13,2023-03-27,56,5.008,WEATHER,False,False,16.27,True,179.2
2022/23,100013,Te Puke,Green,14,2023-04-03,46,4.139,MECHANICAL,False,False,16.01,True,147.2
2022/23,100013,Te Puke,Green,15,2023-04-10,43,3.29,COOLSTORE_CCP5,True,False,16.71,True,137.6
2022/23,100013,Te Puke,Green,16,2023-04-17,29,3.175,COOLSTORE_CCP5,True,False,17.09,True,92.8
2022/23,100013,Te Puke,Green,17,2023-04-24,37,3.476,MECHANICAL,False,False,16.6,True,118.4
2022/23,100013,Te Puke,Green,18,2023-05-01,28,3.306,MECHANICAL,False,False,17.74,True,89.6
2022/23,100013,Te Puke,Green,19,2023-05-08,27,2.625,MECHANICAL,False,False,16.63,True,86.4
2022/23,100013,Te Puke,Green,20,2023-05-15,34,4.077,COOLSTORE_CCP5,True,False,16.3,True,108.8
2022/23,100014,Te Puke,Green,11,2023-03-13,32,3.443,PEST_CCP3,True,True,17.15,True,102.4
2022/23,100014,Te Puke,Green,12,2023-03-20,19,3.421,WEATHER,False,False,17.35,True,60.8
2022/23,100014,Te Puke,Green,13,2023-03-27,26,3.816,PEST_CCP2,True,False,17.19,True,83.2
2022/23,100014,Te Puke,Green,14,2023-04-03,28,5.023,MECHANICAL,False,False,17.04,True,89.6
2022/23,100014,Te Puke,Green,15,2023-04-10,36,3.761,PEST_CCP2,True,False,16.89,True,115.2
2022/23,100014,Te Puke,Green,16,2023-04-17,32,3.724,WEATHER,False,False,17.2,True,102.4
2022/23,100014,Te Puke,Green,17,2023-04-24,24,3.817,COOLSTORE_CCP5,True,False,17.6,True,76.8
2022/23,100014,Te Puke,Green,18,2023-05-01,18,3.238,COOLSTORE_CCP5,True,False,17.0,True,57.6
2022/23,100014,Te Puke,Green,19,2023-05-08,26,3.108,OTHER,False,False,16.88,True,83.2
2022/23,100014,Te Puke,Green,20,2023-05-15,36,3.748,OTHER,False,False,17.69,True,115.2
2022/23,100015,Te Puke,Green,11,2023-03-13,23,2.849,PEST_CCP2,True,False,16.55,True,73.6
2022/23,100015,Te Puke,Green,12,2023-03-20,29,3.531,PEST_CCP2,True,False,16.84,True,92.8
2022/23,100015,Te Puke,Green,13,2023-03-27,28,3.256,MECHANICAL,False,False,16.96,True,89.6
2022/23,100015,Te Puke,Green,14,2023-04-03,28,4.225,MECHANICAL,False,False,16.83,True,89.6
2022/23,100015,Te Puke,Green,15,2023-04-10,32,3.718,PEST_CCP3,True,True,16.88,True,102.4
2022/23,100015,Te Puke,Green,16,2023-04-17,25,2.682,MECHANICAL,False,False,16.71,True,80.0
2022/23,100015,Te Puke,Green,17,2023-04-24,38,3.362,COOLSTORE_CCP5,True,False,16.62,True,121.6
2022/23,100015,Te Puke,Green,18,2023-05-01,27,2.897,PEST_CCP2,True,False,17.4,True,86.4
2022/23,100015,Te Puke,Green,19,2023-05-08,22,3.318,MECHANICAL,False,False,16.47,True,70.4
2022/23,100015,Te Puke,Green,20,2023-05-15,36,3.61,PEST_CCP2,True,False,17.53,True,115.2
2022/23,100016,Te Puke,Green,11,2023-03-13,15,3.237,PEST_CCP2,True,False,16.92,True,48.0
2022/23,100016,Te Puke,Green,12,2023-03-20,18,3.938,COOLSTORE_CCP5,True,False,17.28,True,57.6
2022/23,100016,Te Puke,Green,13,2023-03-27,19,3.663,PEST_CCP2,True,False,17.71,True,60.8
2022/23,100016,Te Puke,Green,14,2023-04-03,17,3.026,WEATHER,False,False,16.92,True,54.4
2022/23,100016,Te Puke,Green,15,2023-04-10,9,2.995,MECHANICAL,False,False,17.6,True,28.8
2022/23,100016,Te Puke,Green,16,2023-04-17,12,3.461,WEATHER,False,False,16.5,True,38.4
2022/23,100016,Te Puke,Green,17,2023-04-24,18,3.252,PEST_CCP2,True,False,17.57,True,57.6
2022/23,100016,Te Puke,Green,18,2023-05-01,18,3.351,PEST_CCP3,True,True,16.88,True,57.6
2022/23,100016,Te Puke,Green,19,2023-05-08,13,3.502,COOLSTORE_CCP5,True,False,17.21,True,41.6
2022/23,100016,Te Puke,Green,20,2023-05-15,10,2.041,MECHANICAL,False,False,16.23,True,32.0
2022/23,100017,Te Puke,SunGold,13,2023-03-27,47,2.592,MECHANICAL,False,False,17.48,True,150.4
2022/23,100017,Te Puke,SunGold,14,2023-04-03,62,3.089,MECHANICAL,False,False,17.36,True,198.4
2022/23,100017,Te Puke,SunGold,15,2023-04-10,36,2.6,WEATHER,False,False,17.18,True,115.2
2022/23,100017,Te Puke,SunGold,16,2023-04-17,42,3.021,PEST_CCP2,True,False,17.63,True,134.4
2022/23,100017,Te Puke,SunGold,17,2023-04-24,52,3.669,WEATHER,False,False,16.62,True,166.4
2022/23,100017,Te Puke,SunGold,18,2023-05-01,70,3.327,PEST_CCP2,True,False,17.34,True,224.0
2022/23,100017,Te Puke,SunGold,19,2023-05-08,52,3.825,COOLSTORE_CCP5,True,False,16.36,True,166.4
2022/23,100017,Te Puke,SunGold,20,2023-05-15,54,2.773,LOADOUT_CCP6,True,False,18.02,True,172.8
2022/23,100017,Te Puke,SunGold,21,2023-05-22,65,3.589,PEST_CCP2,True,False,16.86,True,208.0
2022/23,100017,Te Puke,SunGold,22,2023-05-29,45,3.144,MTS_BREACH,False,False,16.05,False,5176.8
2022/23,100018,Te Puke,Green,11,2023-03-13,42,2.095,PEST_CCP2,True,False,16.93,True,134.4
2022/23,100018,Te Puke,Green,12,2023-03-20,46,3.033,MECHANICAL,False,False,16.75,True,147.2
2022/23,100018,Te Puke,Green,13,2023-03-27,45,2.833,MECHANICAL,False,False,18.03,True,144.0
2022/23,100018,Te Puke,Green,14,2023-04-03,60,3.518,COOLSTORE_CCP5,True,False,17.72,True,192.0
2022/23,100018,Te Puke,Green,15,2023-04-10,46,2.47,MECHANICAL,False,False,17.43,True,147.2
2022/23,100018,Te Puke,Green,16,2023-04-17,103,4.976,COOLSTORE_CCP5,True,False,16.76,True,329.6
2022/23,100018,Te Puke,Green,17,2023-04-24,77,3.632,MECHANICAL,False,False,17.38,True,246.4
2022/23,100018,Te Puke,Green,18,2023-05-01,46,2.557,WEATHER,False,False,16.8,True,147.2
2022/23,100018,Te Puke,Green,19,2023-05-08,78,4.162,MECHANICAL,False,False,16.4,True,249.6
2022/23,100018,Te Puke,Green,20,2023-05-15,75,3.656,PEST_CCP2,True,False,16.77,True,240.0
2022/23,100019,Te Puke,SunGold,13,2023-03-27,9,2.376,PEST_CCP3,True,True,17.16,True,28.8
2022/23,100019,Te Puke,SunGold,14,2023-04-03,16,3.677,WEATHER,False,False,16.1,True,51.2
2022/23,100019,Te Puke,SunGold,15,2023-04-10,24,4.161,PEST_CCP2,True,False,16.89,True,76.8
2022/23,100019,Te Puke,SunGold,16,2023-04-17,12,3.502,MECHANICAL,False,False,16.95,True,38.4
2022/23,100019,Te Puke,SunGold,17,2023-04-24,19,3.376,MECHANICAL,False,False,17.69,True,60.8
2022/23,100019,Te Puke,SunGold,18,2023-05-01,25,4.27,MTS_BREACH,False,False,16.04,False,2120.4
2022/23,100019,Te Puke,SunGold,19,2023-05-08,17,3.624,MECHANICAL,False,False,16.52,True,54.4
2022/23,100019,Te Puke,SunGold,20,2023-05-15,15,3.334,MECHANICAL,False,False,16.88,True,48.0
2022/23,100019,Te Puke,SunGold,21,2023-05-22,23,4.756,MECHANICAL,False,False,16.6,True,73.6
2022/23,100019,Te Puke,SunGold,22,2023-05-29,22,3.625,MTS_BREACH,False,False,15.79,False,2188.8
2022/23,100020,Te Puke,Green,11,2023-03-13,34,3.975,PEST_CCP3,True,True,16.58,True,108.8
2022/23,100020,Te Puke,Green,12,2023-03-20,35,3.813,PEST_CCP3,True,True,16.52,True,112.0
2022/23,100020,Te Puke,Green,13,2023-03-27,28,2.983,MECHANICAL,False,False,16.59,True,89.6
2022/23,100020,Te Puke,Green,14,2023-04-03,27,2.929,MECHANICAL,False,False,17.25,True,86.4
2022/23,100020,Te Puke,Green,15,2023-04-10,42,3.642,COOLSTORE_CCP5,True,False,16.79,True,134.4
2022/23,100020,Te Puke,Green,16,2023-04-17,34,3.523,PEST_CCP2,True,False,16.57,True,108.8
2022/23,100020,Te Puke,Green,17,2023-04-24,47,3.425,MECHANICAL,False,False,16.64,True,150.4
2022/23,100020,Te Puke,Green,18,2023-05-01,46,4.362,COOLSTORE_CCP5,True,False,16.1,True,147.2
2022/23,100020,Te Puke,Green,19,2023-05-08,42,3.619,PEST_CCP2,True,False,16.23,True,134.4
2022/23,100020,Te Puke,Green,20,2023-05-15,24,2.835,MECHANICAL,False,False,15.71,True,76.8
2022/23,100021,Te Puke,Green,11,2023-03-13,54,3.366,WEATHER,False,False,17.21,True,172.8
2022/23,100021,Te Puke,Green,12,2023-03-20,43,4.194,PEST_CCP2,True,False,16.24,True,137.6
2022/23,100021,Te Puke,Green,13,2023-03-27,64,3.742,PEST_CCP2,True,False,16.65,True,204.8
2022/23,100021,Te Puke,Green,14,2023-04-03,54,4.007,WEATHER,False,False,16.43,True,172.8
2022/23,100021,Te Puke,Green,15,2023-04-10,46,3.22,COOLSTORE_CCP5,True,False,16.98,True,147.2
2022/23,100021,Te Puke,Green,16,2023-04-17,37,3.436,COOLSTORE_CCP5,True,False,16.7,True,118.4
2022/23,100021,Te Puke,Green,17,2023-04-24,49,2.944,PEST_CCP2,True,False,15.82,True,156.8
2022/23,100021,Te Puke,Green,18,2023-05-01,46,2.83,WEATHER,False,False,17.11,True,147.2
2022/23,100021,Te Puke,Green,19,2023-05-08,60,3.588,WEATHER,False,False,16.16,True,192.0
2022/23,100021,Te Puke,Green,20,2023-05-15,41,3.99,MTS_BREACH,False,False,15.1,False,2854.5
2022/23,100022,Te Puke,SunGold,13,2023-03-27,33,3.374,MECHANICAL,False,False,16.1,True,105.6
2022/23,100022,Te Puke,SunGold,14,2023-04-03,34,3.736,MECHANICAL,False,False,16.16,True,108.8
2022/23,100022,Te Puke,SunGold,15,2023-04-10,20,2.912,COOLSTORE_CCP5,True,False,17.09,True,64.0
2022/23,100022,Te Puke,SunGold,16,2023-04-17,34,4.271,PEST_CCP2,True,False,17.3,True,108.8
2022/23,100022,Te Puke,SunGold,17,2023-04-24,21,3.216,PEST_CCP2,True,False,17.0,True,67.2
2022/23,100022,Te Puke,SunGold,18,2023-05-01,29,3.531,COOLSTORE_CCP5,True,False,16.32,True,92.8
2022/23,100022,Te Puke,SunGold,19,2023-05-08,19,3.269,MTS_BREACH,False,False,15.71,False,2167.2
2022/23,100022,Te Puke,SunGold,20,2023-05-15,32,3.399,COOLSTORE_CCP5,True,False,16.75,True,102.4
2022/23,100022,Te Puke,SunGold,21,2023-05-22,27,3.67,WEATHER,False,False,16.28,True,86.4
2022/23,100022,Te Puke,SunGold,22,2023-05-29,29,3.443,WEATHER,False,False,16.51,True,92.8
2022/23,100023,Te Puke,SunGold,13,2023-03-27,22,2.89,PEST_CCP2,True,False,17.2,True,70.4
2022/23,100023,Te Puke,SunGold,14,2023-04-03,26,4.087,MECHANICAL,False,False,17.16,True,83.2
2022/23,100023,Te Puke,SunGold,15,2023-04-10,26,4.266,MECHANICAL,False,False,16.88,True,83.2
2022/23,100023,Te Puke,SunGold,16,2023-04-17,25,4.065,LOADOUT_CCP6,True,False,16.96,True,80.0
2022/23,100023,Te Puke,SunGold,17,2023-04-24,23,2.954,WEATHER,False,False,17.22,True,73.6
2022/23,100023,Te Puke,SunGold,18,2023-05-01,32,3.872,PEST_CCP2,True,False,17.21,True,102.4
2022/23,100023,Te Puke,SunGold,19,2023-05-08,13,2.766,MECHANICAL,False,False,16.42,True,41.6
2022/23,100023,Te Puke,SunGold,20,2023-05-15,31,3.98,MECHANICAL,False,False,16.49,True,99.2
2022/23,100023,Te Puke,SunGold,21,2023-05-22,19,2.988,MTS_BREACH,False,False,15.95,False,2343.6
2022/23,100023,Te Puke,SunGold,22,2023-05-29,30,3.886,COOLSTORE_CCP5,True,False,16.86,True,96.0
2022/23,100024,Te Puke,Green,11,2023-03-13,25,3.36,PEST_CCP2,True,False,17.48,True,80.0
2022/23,100024,Te Puke,Green,12,2023-03-20,15,3.0,MECHANICAL,False,False,16.26,True,48.0
2022/23,100024,Te Puke,Green,13,2023-03-27,18,3.011,MECHANICAL,False,False,16.74,True,57.6
2022/23,100024,Te Puke,Green,14,2023-04-03,16,2.764,COOLSTORE_CCP5,True,False,17.01,True,51.2
2022/23,100024,Te Puke,Green,15,2023-04-10,15,3.093,MECHANICAL,False,False,16.23,True,48.0
2022/23,100024,Te Puke,Green,16,2023-04-17,17,3.196,MECHANICAL,False,False,16.56,True,54.4
2022/23,100024,Te Puke,Green,17,2023-04-24,28,3.584,MECHANICAL,False,False,16.4,True,89.6
